"Start Year","Genre","Movies"
1967,"Thriller",92
1967,"War",66
1967,"Western",96
1968,"Action",181
1968,"Adult",1
1968,"Adventure",159
1968,"Animation",24
1968,"Biography",15
1968,"Comedy",451
1968,"Crime",204
1968,"Documentary",94
1968,"Drama",870
1968,"Family",61
1968,"Fantasy",48
1968,"History",36
1968,"Horror",72
1968,"Music",57
1968,"Musical",76
1968,"Mystery",45
1968,"News",1
1968,"Romance",201
1968,"Sci-Fi",43
1968,"Short",30
1968,"Sport",16
1968,"Thriller",86
1968,"War",95
1968,"Western",94
1969,"Action",189
1969,"Adult",4
1969,"Adventure",155
1969,"Animation",21
1969,"Biography",27
1969,"Comedy",503
1969,"Crime",217
1969,"Documentary",85
1969,"Drama",948
1969,"Family",69
1969,"Fantasy",52
1969,"History",58
1969,"Horror",67
1969,"Music",77
1969,"Musical",58
1969,"Mystery",50
1969,"News",2
1969,"Romance",200
1969,"Sci-Fi",43
1969,"Short",42
1969,"Sport",8
1969,"Talk-Show",1
1969,"Thriller",89
1969,"War",83
1969,"Western",64
1970,"Action",175
1970,"Adult",52
1970,"Adventure",177
1970,"Animation",35
1970,"Biography",29
1970,"Comedy",565
1970,"Crime",178
1970,"Documentary",129
1970,"Drama",920
1970,"Family",101
1970,"Fantasy",65
1970,"History",50
1970,"Horror",90
1970,"Music",59
1970,"Musical",76
1970,"Mystery",46
1970,"Romance",204
1970,"Sci-Fi",39
1970,"Short",32
1970,"Sport",21
1970,"Thriller",82
1970,"War",85
1970,"Western",79
1971,"Action",208
1971,"Adult",113
1971,"Adventure",171
1971,"Animation",24
1971,"Biography",27
1971,"Comedy",548
1971,"Crime",207
1971,"Documentary",129
1971,"Drama",926
1971,"Family",70
1971,"Fantasy",55
1971,"History",52
1971,"Horror",121
1971,"Music",64
1971,"Musical",57
1971,"Mystery",81
1971,"News",1
1971,"Romance",190
1971,"Sci-Fi",41
1971,"Short",32
1971,"Sport",9
1971,"Thriller",112
1971,"War",58
1971,"Western",92
1972,"Action",212
1972,"Adult",85
1972,"Adventure",158
1972,"Animation",29
1972,"Biography",38
1972,"Comedy",570
1972,"Crime",216
1972,"Documentary",104
1972,"Drama",906
1972,"Family",105
1972,"Fantasy",46
1972,"Game-Show",1
1972,"History",59
1972,"Horror",129
1972,"Music",56
1972,"Musical",64
1972,"Mystery",76
1972,"News",2
1972,"Reality-TV",1
1972,"Romance",200
1972,"Sci-Fi",40
1972,"Short",35
1972,"Sport",23
1972,"Talk-Show",1
1972,"Thriller",130
1972,"War",55
1972,"Western",98
1973,"Action",293
1973,"Adult",111
1973,"Adventure",159
